substrate,substrate_conductivity_s_m,aln_conductivity_s_m,aln_conductance_ratio,pinhole_fraction,metal_conductance_ratio,effective_conductance_ratio,current_closure_proxy,worst_case_lorentz_drag_proxy,mhd_performance_only
IN625,800000.0,1e-06,1.25e-15,0.01,0.005,5.0000000001237504e-05,4.999750012623113e-05,57.59712014541826,True
IN625,800000.0,1e-06,1.25e-15,0.1,0.005,0.000500000000001125,0.0004997501249386551,575.7121439293306,True
IN625,800000.0,1e-05,1.25e-14,0.0,0.005,1.25e-14,1.2499999999999844e-14,1.4399999999999821e-08,True
IN625,800000.0,1e-05,1.25e-14,1e-07,0.005,5.0001249999875e-10,5.000124997487376e-10,0.0005760143997105457,True
IN625,800000.0,1e-05,1.25e-14,1e-06,0.005,5.0000124999875004e-09,5.000012474987376e-09,0.005760014371185457,True
IN625,800000.0,1e-05,1.25e-14,1e-05,0.005,5.0000012499875006e-08,5.000000999987388e-08,0.05760001151985471,True
IN625,800000.0,1e-05,1.25e-14,0.0001,0.005,5.000000124987501e-07,4.999997624988626e-07,0.5759997263986897,True
IN625,800000.0,1e-05,1.25e-14,0.001,0.005,5.0000000124875005e-06,4.999975012612375e-06,5.759971214529457,True
IN625,800000.0,1e-05,1.25e-14,0.01,0.005,5.0000000012375005e-05,4.999750013736752e-05,57.59712015824738,True
IN625,800000.0,1e-05,1.25e-14,0.1,0.005,0.00050000000001125,0.00049975012494877,575.712143940983,True
IN625,800000.0,0.0001,1.25e-13,0.0,0.005,1.25e-13,1.2499999999998437e-13,1.43999999999982e-07,True
IN625,800000.0,0.0001,1.25e-13,1e-07,0.005,5.001249999875e-10,5.00124999737375e-10,0.000576143999697456,True
IN625,800000.0,0.0001,1.25e-13,1e-06,0.005,5.000124999875e-09,5.0001249748737506e-09,0.00576014397105456,True
IN625,800000.0,0.0001,1.25e-13,1e-05,0.005,5.0000124998750006e-08,5.0000122498737635e-08,0.05760014111854576,True
IN625,800000.0,0.0001,1.25e-13,0.0001,0.005,5.000001249875001e-07,4.999998749875001e-07,0.5759998559856001,True
IN625,800000.0,0.0001,1.25e-13,0.001,0.005,5.000000124875001e-06,4.999975124998751e-06,5.759971343998561,True
IN625,800000.0,0.0001,1.25e-13,0.01,0.005,5.0000000123750005e-05,4.999750024873138e-05,57.59712028653855,True
IN625,800000.0,0.0001,1.25e-13,0.1,0.005,0.0005000000001125,0.0004997501250499187,575.7121440575064,True
IN625,800000.0,0.001,1.2500000000000001e-12,0.0,0.005,1.2500000000000001e-12,1.2499999999984379e-12,1.4399999999982005e-06,True
IN625,800000.0,0.001,1.2500000000000001e-12,1e-07,0.005,5.01249999875e-10,5.012499996237484e-10,0.0005774399995665582,True
IN625,800000.0,0.001,1.2500000000000001e-12,1e-06,0.005,5.00124999875e-09,5.0012499737374985e-09,0.005761439969745598,True
IN625,800000.0,0.001,1.2500000000000001e-12,1e-05,0.005,5.00012499875e-08,5.000124748737512e-08,0.05760143710545614,True
IN625,800000.0,0.001,1.2500000000000001e-12,0.0001,0.005,5.000012498750001e-07,5.000009998738752e-07,0.5760011518547042,True
IN625,800000.0,0.001,1.2500000000000001e-12,0.001,0.005,5.00000124875e-06,4.9999762488625114e-06,5.7599726386896135,True
IN625,800000.0,0.001,1.2500000000000001e-12,0.01,0.005,5.00000012375e-05,4.9997501362370005e-05,57.597121569450245,True
IN625,800000.0,0.001,1.2500000000000001e-12,0.1,0.005,0.0005000000011250001,0.0004997501260614072,575.712145222741,True
molybdenum,18700000.0,1e-10,1.25e-19,0.0,0.116875,1.25e-19,1.25e-19,1.4400000000000002e-13,True
molybdenum,18700000.0,1e-10,1.25e-19,1e-07,0.116875,1.1687500000125e-08,1.1687499863527345e-08,0.013463999842783502,True
molybdenum,18700000.0,1e-10,1.25e-19,1e-06,0.116875,1.1687500000012501e-07,1.16874986340361e-07,0.13463998426409587,True
molybdenum,18700000.0,1e-10,1.25e-19,1e-05,0.116875,1.1687500000001252e-06,1.1687486340251594e-06,1.3463984263969835,True
molybdenum,18700000.0,1e-10,1.25e-19,0.0001,0.116875,1.1687500000000127e-05,1.1687363403940343e-05,13.463842641339275,True
molybdenum,18700000.0,1e-10,1.25e-19,0.001,0.116875,0.00011687500000000013,0.00011686134183067366,134.62426578893607,True
molybdenum,18700000.0,1e-10,1.25e-19,0.01,0.116875,0.0011687500000000003,0.001167385618058894,1344.8282320038459,True
molybdenum,18700000.0,1e-10,1.25e-19,0.1,0.116875,0.011687500000000002,0.011552480385494534,13308.457404089704,True
molybdenum,18700000.0,1e-09,1.2500000000000003e-18,0.0,0.116875,1.2500000000000003e-18,1.2500000000000003e-18,1.4400000000000003e-12,True
molybdenum,18700000.0,1e-09,1.2500000000000003e-18,1e-07,0.116875,1.168750000125e-08,1.1687499864652345e-08,0.013463999844079502,True
molybdenum,18700000.0,1e-09,1.2500000000000003e-18,1e-06,0.116875,1.1687500000125e-07,1.1687498634148599e-07,0.13463998426539187,True
molybdenum,18700000.0,1e-09,1.2500000000000003e-18,1e-05,0.116875,1.1687500000012503e-06,1.1687486340262844e-06,1.3463984263982798,True
molybdenum,18700000.0,1e-09,1.2500000000000003e-18,0.0001,0.116875,1.1687500000001251e-05,1.1687363403941467e-05,13.46384264134057,True
molybdenum,18700000.0,1e-09,1.2500000000000003e-18,0.001,0.116875,0.00011687500000000126,0.00011686134183067479,134.62426578893735,True
molybdenum,18700000.0,1e-09,1.2500000000000003e-18,0.01,0.116875,0.0011687500000000014,0.001167385618058895,1344.828232003847,True
molybdenum,18700000.0,1e-09,1.2500000000000003e-18,0.1,0.116875,0.011687500000000003,0.011552480385494536,13308.457404089706,True
molybdenum,18700000.0,1e-08,1.25e-17,0.0,0.116875,1.25e-17,1.25e-17,1.44e-11,True
molybdenum,18700000.0,1e-08,1.25e-17,1e-07,0.116875,1.1687500012499999e-08,1.1687499875902344e-08,0.013463999857039501,True
molybdenum,18700000.0,1e-08,1.25e-17,1e-06,0.116875,1.1687500001249999e-07,1.1687498635273595e-07,0.1346399842783518,True
molybdenum,18700000.0,1e-08,1.25e-17,1e-05,0.116875,1.1687500000125001e-06,1.1687486340375339e-06,1.346398426411239,True
molybdenum,18700000.0,1e-08,1.25e-17,0.0001,0.116875,1.16875000000125e-05,1.1687363403952716e-05,13.463842641353528,True
molybdenum,18700000.0,1e-08,1.25e-17,0.001,0.116875,0.00011687500000001249,0.00011686134183068602,134.6242657889503,True
molybdenum,18700000.0,1e-08,1.25e-17,0.01,0.116875,0.0011687500000000124,0.001167385618058906,1344.8282320038597,True
molybdenum,18700000.0,1e-08,1.25e-17,0.1,0.116875,0.011687500000000012,0.011552480385494545,13308.457404089715,True
molybdenum,18700000.0,1e-07,1.2499999999999999e-16,0.0,0.116875,1.2499999999999999e-16,1.2499999999999996e-16,1.4399999999999994e-10,True
molybdenum,18700000.0,1e-07,1.2499999999999999e-16,1e-07,0.116875,1.1687500124999987e-08,1.168749998840233e-08,0.013463999986639484,True
molybdenum,18700000.0,1e-07,1.2499999999999999e-16,1e-06,0.116875,1.1687500012499989e-07,1.1687498646523583e-07,0.1346399844079517,True
molybdenum,18700000.0,1e-07,1.2499999999999999e-16,1e-05,0.116875,1.168750000124999e-06,1.1687486341500328e-06,1.3463984265408377,True
