time_s,mean_velocity_m_per_s,bend_inboard_velocity_m_per_s,bend_outboard_velocity_m_per_s,pressure_drop_pa,relative_update,courant
8.900000000000e+00,1.998165111350e-01,1.886354688185e-01,2.033576017787e-01,2.636486737632e+04,1.370475823857e-09,5.099980274746e-01
8.950000000000e+00,1.998165113799e-01,1.886354690497e-01,2.033576020280e-01,2.636486740878e+04,1.237326325946e-09,5.099980280998e-01
9.000000000000e+00,1.998165116011e-01,1.886354692585e-01,2.033576022530e-01,2.636486743810e+04,1.117112941634e-09,5.099980286643e-01
9.050000000000e+00,1.998165118007e-01,1.886354694469e-01,2.033576024562e-01,2.636486746457e+04,1.008578855529e-09,5.099980291739e-01
9.100000000000e+00,1.998165119810e-01,1.886354696171e-01,2.033576026397e-01,2.636486748846e+04,9.105896278397e-10,5.099980296341e-01
9.150000000000e+00,1.998165121437e-01,1.886354697707e-01,2.033576028053e-01,2.636486751003e+04,8.221206928968e-10,5.099980300495e-01
9.200000000000e+00,1.998165122907e-01,1.886354699094e-01,2.033576029548e-01,2.636486752951e+04,7.422468023427e-10,5.099980304245e-01
9.250000000000e+00,1.998165124233e-01,1.886354700346e-01,2.033576030898e-01,2.636486754710e+04,6.701334130015e-10,5.099980307632e-01
9.300000000000e+00,1.998165125431e-01,1.886354701477e-01,2.033576032117e-01,2.636486756297e+04,6.050259911668e-10,5.099980310689e-01
9.350000000000e+00,1.998165126512e-01,1.886354702498e-01,2.033576033217e-01,2.636486757731e+04,5.462441785777e-10,5.099980313449e-01
9.400000000000e+00,1.998165127488e-01,1.886354703419e-01,2.033576034211e-01,2.636486759025e+04,4.931734580980e-10,5.099980315941e-01
9.450000000000e+00,1.998165128370e-01,1.886354704251e-01,2.033576035108e-01,2.636486760193e+04,4.452590418812e-10,5.099980318191e-01
9.500000000000e+00,1.998165129166e-01,1.886354705003e-01,2.033576035917e-01,2.636486761248e+04,4.019993428205e-10,5.099980320222e-01
9.550000000000e+00,1.998165129884e-01,1.886354705681e-01,2.033576036649e-01,2.636486762201e+04,3.629430575357e-10,5.099980322056e-01
9.600000000000e+00,1.998165130533e-01,1.886354706293e-01,2.033576037309e-01,2.636486763061e+04,3.276808320544e-10,5.099980323712e-01
9.650000000000e+00,1.998165131118e-01,1.886354706846e-01,2.033576037905e-01,2.636486763837e+04,2.958447061898e-10,5.099980325207e-01
9.700000000000e+00,1.998165131647e-01,1.886354707345e-01,2.033576038443e-01,2.636486764538e+04,2.671017238959e-10,5.099980326557e-01
9.750000000000e+00,1.998165132125e-01,1.886354707796e-01,2.033576038929e-01,2.636486765171e+04,2.411511551614e-10,5.099980327775e-01
