field_scale,station_m,b_perp_t,hartmann,total_pressure_drop_pa,hydraulic_pressure_drop_pa,mhd_pressure_drop_pa,curvature_pressure_drop_pa,total_pressure_gradient_pa_per_m
1.000000000000e+01,1.774647887324e+00,2.734305523336e-01,6.873937496956e+02,8.677863731075e+02,1.950012761463e+01,8.482862454929e+02,0.000000000000e+00,4.145452129453e+03
1.000000000000e+01,1.806338028169e+00,2.917669154704e-01,7.334906518332e+02,1.008237314842e+03,1.984834417917e+01,9.883889706627e+02,0.000000000000e+00,4.718562860007e+03
1.000000000000e+01,1.838028169014e+00,3.098405152559e-01,7.789269771490e+02,1.167296696987e+03,2.019656074372e+01,1.147100136243e+03,0.000000000000e+00,5.319851479789e+03
1.000000000000e+01,1.869718309859e+00,3.274933248758e-01,8.233054523915e+02,1.345741796322e+03,2.054477730827e+01,1.325197019014e+03,0.000000000000e+00,5.942017011602e+03
1.000000000000e+01,1.901408450704e+00,3.445612639189e-01,8.662135858032e+02,1.544096052021e+03,2.089299387281e+01,1.523203058148e+03,0.000000000000e+00,6.576340459161e+03
1.000000000000e+01,1.933098591549e+00,3.608768060803e-01,9.072302227846e+02,1.762586295790e+03,2.124121043736e+01,1.741345085353e+03,0.000000000000e+00,7.212821592069e+03
1.000000000000e+01,1.964788732394e+00,3.762717545033e-01,9.459325229939e+02,2.001105432155e+03,2.158942700191e+01,1.979516005153e+03,0.000000000000e+00,7.840386125151e+03
1.000000000000e+01,1.996478873239e+00,3.905803337693e-01,9.819037334917e+02,2.259182888670e+03,2.193764356645e+01,2.237245245104e+03,0.000000000000e+00,8.447168908291e+03
1.000000000000e+01,2.028169014085e+00,4.036423563957e-01,1.014741149191e+03,2.535965031572e+03,2.228586013100e+01,2.513679171441e+03,0.000000000000e+00,9.020859665929e+03
1.000000000000e+01,2.059859154930e+00,4.153065010905e-01,1.044064354262e+03,2.830207412901e+03,2.263407669555e+01,2.807573336206e+03,0.000000000000e+00,9.549103955745e+03
1.000000000000e+01,2.091549295775e+00,4.254336655140e-01,1.069523650845e+03,3.140280379862e+03,2.298229326010e+01,3.117298086602e+03,0.000000000000e+00,1.001994551467e+04
1.000000000000e+01,2.123239436620e+00,4.338999465108e-01,1.090807551238e+03,3.464188770445e+03,2.333050982464e+01,3.440858260620e+03,0.000000000000e+00,1.042227291324e+04
1.000000000000e+01,2.154929577465e+00,4.405996948481e-01,1.107650457389e+03,3.799605849079e+03,2.367872638919e+01,3.775927122690e+03,0.000000000000e+00,1.074627160499e+04
1.000000000000e+01,2.186619718310e+00,4.454478248954e-01,1.119838467338e+03,4.143920718168e+03,2.402694295374e+01,4.119893775214e+03,0.000000000000e+00,1.098382235528e+04
1.000000000000e+01,2.218309859155e+00,4.483820497990e-01,1.127214994363e+03,4.494319553437e+03,2.437515951828e+01,4.469922528947e+03,2.186497233679e-02,1.113023747063e+04
