station_m,total_pressure_kpa,hydraulic_pressure_kpa,mhd_pressure_kpa,curvature_pressure_kpa
5.425968170166e+00,2.552960351562e+01,5.962143817995e-02,2.540488219996e+01,6.510000589941e-02
5.457658290863e+00,2.565667578125e+01,5.996965448214e-02,2.553160598689e+01,6.510000589941e-02
5.489348411560e+00,2.577100585937e+01,6.031787078434e-02,2.564558791979e+01,6.510000589941e-02
5.521038532257e+00,2.587292968750e+01,6.066608708654e-02,2.574716300410e+01,6.510000589941e-02
5.552728652954e+00,2.596294335938e+01,6.101430338873e-02,2.583682869193e+01,6.510000589941e-02
5.584418773651e+00,2.604167773437e+01,6.136251969093e-02,2.591521557877e+01,6.510000589941e-02
5.616108894348e+00,2.610986718750e+01,6.171073599313e-02,2.598305748703e+01,6.510000589941e-02
5.647799015045e+00,2.616832031250e+01,6.205895229532e-02,2.604116220146e+01,6.510000589941e-02
5.679489135742e+00,2.621789062500e+01,6.240716859752e-02,2.609038390852e+01,6.510000589941e-02
5.711179256439e+00,2.625945312500e+01,6.275538489972e-02,2.613159805554e+01,6.510000589941e-02
5.742869377136e+00,2.629388281250e+01,6.310360120191e-02,2.616567927457e+01,6.510000589941e-02
5.774559497833e+00,2.632203515625e+01,6.345181750411e-02,2.619348264181e+01,6.510000589941e-02
5.806249618530e+00,2.634472851563e+01,6.380003380631e-02,2.621582838478e+01,6.510000589941e-02
5.837939739227e+00,2.636273828125e+01,6.414825010851e-02,2.623349004445e+01,6.510000589941e-02
5.869629859924e+00,2.637678320313e+01,6.449646641070e-02,2.624718586607e+01,6.510000589941e-02
5.901319980621e+00,2.638751757812e+01,6.484468271290e-02,2.625757312517e+01,6.510000589941e-02
5.933010101318e+00,2.639553710937e+01,6.519289901510e-02,2.626524507704e+01,6.510000589941e-02
5.964700698853e+00,2.640137109375e+01,6.554112055686e-02,2.627073019114e+01,6.510000589941e-02
5.996390819550e+00,2.640548242187e+01,6.588933685905e-02,2.627449278526e+01,6.510000589941e-02
6.028080940247e+00,2.640827343750e+01,6.623755316125e-02,2.627693593044e+01,6.510000589941e-02
6.059771060944e+00,2.641008984375e+01,6.658576946345e-02,2.627840459359e+01,6.510000589941e-02
6.091461181641e+00,2.641122460938e+01,6.693398576565e-02,2.627918994471e+01,6.510000589941e-02
6.123151302338e+00,2.641191601562e+01,6.728220206784e-02,2.627953405429e+01,6.510000589941e-02
6.154841423035e+00,2.641236523437e+01,6.763041837004e-02,2.627963482552e+01,6.510000589941e-02
6.186531543732e+00,2.641272851562e+01,6.797863467224e-02,2.627965096837e+01,6.510000589941e-02
6.218221664429e+00,2.641313281250e+01,6.832685097443e-02,2.627970686583e+01,6.510000589941e-02
6.249911785126e+00,2.641367187500e+01,6.867506727663e-02,2.627989722268e+01,6.510000589941e-02
6.281601905823e+00,2.641441406250e+01,6.902328357883e-02,2.628029141457e+01,6.510000589941e-02
6.313292026520e+00,2.641540820313e+01,6.937149988102e-02,2.628093748726e+01,6.510000589941e-02
6.344982147217e+00,2.641668554688e+01,6.971971618322e-02,2.628186577548e+01,6.510000589941e-02
6.376672267914e+00,2.641825976562e+01,7.006793248542e-02,2.628309213428e+01,6.510000589941e-02
6.408362388611e+00,2.642013671875e+01,7.041614878761e-02,2.628462078712e+01,6.510000589941e-02
6.440052509308e+00,2.642231054687e+01,7.076436508981e-02,2.628644680297e+01,6.510000589941e-02
6.471742630005e+00,2.642477148438e+01,7.111258139201e-02,2.628855822604e+01,6.510000589941e-02
6.503432750702e+00,2.642749804688e+01,7.146079769420e-02,2.629093788617e+01,6.510000589941e-02
6.535122871399e+00,2.643047460938e+01,7.180901399640e-02,2.629356491695e+01,6.510000589941e-02
6.566812992096e+00,2.643367382812e+01,7.215723029860e-02,2.629641601417e+01,6.510000589941e-02
6.598503112793e+00,2.643707226563e+01,7.250544660079e-02,2.629946646476e+01,6.510000589941e-02
6.630193233490e+00,2.644064453125e+01,7.285366290299e-02,2.630269097431e+01,6.510000589941e-02
6.661883354187e+00,2.644436523437e+01,7.320187920519e-02,2.630606432180e+01,6.510000589941e-02
6.693573474884e+00,2.644821093750e+01,7.355009550738e-02,2.630956186585e+01,6.510000589941e-02
6.725264072418e+00,2.645215820312e+01,7.389831704915e-02,2.631315997933e+01,6.510000589941e-02
6.756954193115e+00,2.645618164063e+01,7.424653335134e-02,2.631683610961e+01,6.510000589941e-02
6.788644313812e+00,2.646026367188e+01,7.459474965354e-02,2.632056929478e+01,6.510000589941e-02
6.820334434509e+00,2.646438281250e+01,7.494296595574e-02,2.632434006663e+01,6.510000589941e-02
6.852024555206e+00,2.646852148437e+01,7.529118225793e-02,2.632813056757e+01,6.510000589941e-02
6.883714675903e+00,2.647266406250e+01,7.563939856013e-02,2.633192456845e+01,6.510000589941e-02
6.915404796600e+00,2.647679492188e+01,7.598761486233e-02,2.633570745246e+01,6.510000589941e-02
