station_m,total_pressure_kpa,hydraulic_pressure_kpa,mhd_pressure_kpa,curvature_pressure_kpa
4.543536186218e+00,1.958056250000e+01,4.992512918421e-02,1.947782872672e+01,5.280838289643e-02
4.563308238983e+00,1.972253906250e+01,5.014238777930e-02,1.961913261741e+01,5.326363172623e-02
4.583079814911e+00,1.986451171875e+01,5.035964113481e-02,1.976043309548e+01,5.371886957692e-02
4.602851867676e+00,2.000648828125e+01,5.057689972989e-02,1.990173697652e+01,5.417411840672e-02
4.622623443604e+00,2.014846093750e+01,5.079415308541e-02,2.004303744976e+01,5.462935625742e-02
4.642395496368e+00,2.029043750000e+01,5.101141168049e-02,2.018434133563e+01,5.508460508722e-02
4.662167549133e+00,2.043241406250e+01,5.122867027558e-02,2.032564522632e+01,5.553985391702e-02
4.681939125061e+00,2.057438671875e+01,5.144592363109e-02,2.046694568508e+01,5.599509176771e-02
4.701711177826e+00,2.071636328125e+01,5.166318222618e-02,2.060824954681e+01,5.645034059752e-02
4.721482753754e+00,2.085833593750e+01,5.188043558169e-02,2.074955002489e+01,5.690557844821e-02
4.741254806519e+00,2.100031250000e+01,5.209769417677e-02,2.089085389144e+01,5.736082727801e-02
4.761026859283e+00,2.114228906250e+01,5.231495277186e-02,2.103215775799e+01,5.781607610782e-02
4.780798435211e+00,2.128426171875e+01,5.253220612737e-02,2.117345821676e+01,5.827131395851e-02
4.800570487976e+00,2.142623828125e+01,5.274946472246e-02,2.131476207849e+01,5.872656278831e-02
4.820342063904e+00,2.156821093750e+01,5.296671807797e-02,2.145606255174e+01,5.918180063900e-02
4.840114116669e+00,2.171018750000e+01,5.318397667306e-02,2.159736645691e+01,5.963704946881e-02
4.859886169434e+00,2.185216406250e+01,5.340123526814e-02,2.173867034277e+01,6.009229829861e-02
