station_m,b_perp_t,hartmann,pressure_drop_pa,total_pressure_gradient_pa_per_m
4.049239608930e+00,3.594914972782e-01,9.037476104582e+02,1.603118610332e+04,7.180660783646e+03
4.069011472764e+00,3.594914972782e-01,9.037476104582e+02,1.617316115058e+04,7.180660783646e+03
4.088783336598e+00,3.594914674759e-01,9.037475355363e+02,1.631513618612e+04,7.180659598713e+03
4.108555200433e+00,3.594915270805e-01,9.037476853801e+02,1.645711123337e+04,7.180661968580e+03
4.128327064267e+00,3.594914674759e-01,9.037475355363e+02,1.659908628063e+04,7.180659598713e+03
4.148098928101e+00,3.594914674759e-01,9.037475355363e+02,1.674106130446e+04,7.180659598713e+03
4.167870791936e+00,3.594915270805e-01,9.037476853801e+02,1.688303635171e+04,7.180661968580e+03
4.187642655770e+00,3.594914674759e-01,9.037475355363e+02,1.702501139897e+04,7.180659598713e+03
4.207414519605e+00,3.594915270805e-01,9.037476853801e+02,1.716698644622e+04,7.180661968580e+03
4.227186383439e+00,3.594914972782e-01,9.037476104582e+02,1.730896150519e+04,7.180660783646e+03
4.246958247273e+00,3.594914972782e-01,9.037476104582e+02,1.745093655245e+04,7.180660783646e+03
4.266730111108e+00,3.594914674759e-01,9.037475355363e+02,1.759291158799e+04,7.180659598713e+03
4.286501974942e+00,3.594914972782e-01,9.037476104582e+02,1.773488662353e+04,7.180660783646e+03
4.306273838777e+00,3.594915270805e-01,9.037476853801e+02,1.787686168250e+04,7.180661968580e+03
4.326045702611e+00,3.594914376736e-01,9.037474606144e+02,1.801883671804e+04,7.180658413780e+03
4.345817566445e+00,3.594915270805e-01,9.037476853801e+02,1.816081175358e+04,7.180661968580e+03
4.365589430280e+00,3.594914674759e-01,9.037475355363e+02,1.830278680084e+04,7.180659598713e+03
4.385361294114e+00,3.594914376736e-01,9.037474606144e+02,1.844476181295e+04,7.180658413780e+03
4.405133157949e+00,3.594914972782e-01,9.037476104582e+02,1.858673683677e+04,7.180660783646e+03
4.424905021783e+00,3.594914674759e-01,9.037475355363e+02,1.872871187232e+04,7.180659598713e+03
4.444676885617e+00,3.594914972782e-01,9.037476104582e+02,1.887068690786e+04,7.180660783646e+03
4.464448749452e+00,3.594914674759e-01,9.037475355363e+02,1.901266194340e+04,7.180659598713e+03
4.484220613286e+00,3.594914972782e-01,9.037476104582e+02,1.915463697894e+04,7.180660783646e+03
4.503992477120e+00,3.594914972782e-01,9.037476104582e+02,1.929661202619e+04,7.180660783646e+03
4.523764340955e+00,3.594914972782e-01,9.037476104582e+02,1.943858707345e+04,7.180660783646e+03
4.543536204789e+00,3.594914972782e-01,9.037476104582e+02,1.958056212070e+04,7.180660783646e+03
4.563308068624e+00,3.594914972782e-01,9.037476104582e+02,1.972253716796e+04,7.180660783646e+03
4.583079932458e+00,3.594914674759e-01,9.037475355363e+02,1.986451220350e+04,7.180659598713e+03
4.602851796292e+00,3.594914674759e-01,9.037475355363e+02,2.000648722733e+04,7.180659598713e+03
4.622623660127e+00,3.594914674759e-01,9.037475355363e+02,2.014846225115e+04,7.180659598713e+03
4.642395523961e+00,3.594914972782e-01,9.037476104582e+02,2.029043728670e+04,7.180660783646e+03
4.662167387796e+00,3.594914972782e-01,9.037476104582e+02,2.043241233395e+04,7.180660783646e+03
4.681939251630e+00,3.594914376736e-01,9.037474606144e+02,2.057438735778e+04,7.180658413780e+03
